    nm         	mV
5.470868e+001	6.753750e+002
5.460162e+001	6.746250e+002
5.449456e+001	6.686250e+002
5.438750e+001	6.630000e+002
5.428043e+001	6.607500e+002
5.417337e+001	6.588750e+002
5.406631e+001	6.572188e+002
5.395925e+001	6.540000e+002
5.385219e+001	6.503437e+002
5.374513e+001	6.467813e+002
5.363807e+001	6.436250e+002
5.353101e+001	6.403750e+002
5.342395e+001	6.369375e+002
5.331689e+001	6.332500e+002
5.320982e+001	6.294687e+002
5.310276e+001	6.262187e+002
5.299570e+001	6.230313e+002
5.288864e+001	6.194375e+002
5.278158e+001	6.156563e+002
5.267452e+001	6.118125e+002
5.256746e+001	6.083437e+002
5.246040e+001	6.052188e+002
5.235334e+001	6.018125e+002
5.224627e+001	5.981875e+002
5.213921e+001	5.946875e+002
5.203215e+001	5.912812e+002
5.192509e+001	5.881875e+002
5.181803e+001	5.848438e+002
5.171097e+001	5.810625e+002
5.160391e+001	5.773125e+002
5.149685e+001	5.737187e+002
5.138979e+001	5.703125e+002
5.128273e+001	5.667812e+002
5.117566e+001	5.628437e+002
5.106860e+001	5.587813e+002
5.096154e+001	5.550938e+002
5.085448e+001	5.514375e+002
5.074742e+001	5.477188e+002
5.064036e+001	5.438125e+002
5.053330e+001	5.396563e+002
5.042624e+001	5.358437e+002
5.031918e+001	5.323437e+002
5.021212e+001	5.287500e+002
5.010505e+001	5.250313e+002
4.999799e+001	5.212500e+002
4.989093e+001	5.175000e+002
4.978387e+001	5.140312e+002
4.967681e+001	5.105938e+002
4.956975e+001	5.068437e+002
4.946269e+001	5.029375e+002
4.935563e+001	4.990937e+002
4.924857e+001	4.954375e+002
4.914151e+001	4.919688e+002
4.903444e+001	4.881563e+002
4.892738e+001	4.841563e+002
4.882032e+001	4.802813e+002
4.871326e+001	4.764375e+002
4.860620e+001	4.728437e+002
4.849914e+001	4.690937e+002
4.839208e+001	4.649062e+002
4.828502e+001	4.608750e+002
4.817796e+001	4.570937e+002
4.807089e+001	4.533750e+002
4.796383e+001	4.497187e+002
4.785677e+001	4.456250e+002
4.774971e+001	4.416875e+002
4.764265e+001	4.380625e+002
4.753559e+001	4.345312e+002
4.742853e+001	4.308437e+002
4.732147e+001	4.269375e+002
4.721441e+001	4.229062e+002
4.710735e+001	4.191875e+002
4.700028e+001	4.157188e+002
4.689322e+001	4.120313e+002
4.678616e+001	4.081875e+002
4.667910e+001	4.042813e+002
4.657204e+001	4.005313e+002
4.646498e+001	3.969688e+002
4.635792e+001	3.932500e+002
4.625086e+001	3.891563e+002
4.614380e+001	3.850313e+002
4.603674e+001	3.810625e+002
4.592967e+001	3.773750e+002
4.582261e+001	3.737187e+002
4.571555e+001	3.696250e+002
4.560849e+001	3.655625e+002
4.550143e+001	3.617812e+002
4.539437e+001	3.580625e+002
4.528731e+001	3.543750e+002
4.518025e+001	3.505000e+002
4.507319e+001	3.464375e+002
4.496613e+001	3.426875e+002
4.485906e+001	3.392813e+002
4.475200e+001	3.357500e+002
4.464494e+001	3.320937e+002
4.453788e+001	3.282188e+002
4.443082e+001	3.245625e+002
4.432376e+001	3.211563e+002
4.421670e+001	3.176562e+002
4.410964e+001	3.138125e+002
4.400258e+001	3.099062e+002
4.389551e+001	3.059688e+002
4.378845e+001	3.022500e+002
4.368139e+001	2.986563e+002
4.357433e+001	2.947812e+002
4.346727e+001	2.907500e+002
4.336021e+001	2.867500e+002
4.325315e+001	2.828750e+002
4.314609e+001	2.791875e+002
4.303903e+001	2.753750e+002
4.293197e+001	2.711875e+002
4.282490e+001	2.672500e+002
4.271784e+001	2.634687e+002
4.261078e+001	2.598125e+002
4.250372e+001	2.562813e+002
4.239666e+001	2.523125e+002
4.228960e+001	2.483438e+002
4.218254e+001	2.447187e+002
4.207548e+001	2.411875e+002
4.196842e+001	2.376250e+002
4.186136e+001	2.338750e+002
4.175429e+001	2.298125e+002
4.164723e+001	2.260625e+002
4.154017e+001	2.225625e+002
4.143311e+001	2.189375e+002
4.132605e+001	2.151563e+002
4.121899e+001	2.110625e+002
4.111193e+001	2.071250e+002
4.100487e+001	2.035625e+002
4.089781e+001	1.999063e+002
4.079075e+001	1.959375e+002
4.068368e+001	1.917813e+002
4.057662e+001	1.876250e+002
4.046956e+001	1.840000e+002
4.036250e+001	1.805000e+002
4.025544e+001	1.765625e+002
4.014838e+001	1.725625e+002
4.004132e+001	1.687813e+002
3.993426e+001	1.653125e+002
3.982720e+001	1.620312e+002
3.972013e+001	1.583437e+002
3.961307e+001	1.543438e+002
3.950601e+001	1.506250e+002
3.939895e+001	1.472812e+002
3.929189e+001	1.438750e+002
3.918483e+001	1.402500e+002
3.907777e+001	1.362500e+002
3.897071e+001	1.323750e+002
3.886365e+001	1.287500e+002
3.875659e+001	1.250625e+002
3.864952e+001	1.212187e+002
3.854246e+001	1.170937e+002
3.843540e+001	1.130000e+002
3.832834e+001	1.092500e+002
3.822128e+001	1.055313e+002
3.811422e+001	1.016250e+002
3.800716e+001	9.768750e+001
3.790010e+001	9.381250e+001
3.779304e+001	9.006250e+001
3.768598e+001	8.659375e+001
3.757891e+001	8.300000e+001
3.747185e+001	7.918750e+001
3.736479e+001	7.540625e+001
3.725773e+001	7.171875e+001
3.715067e+001	6.821875e+001
3.704361e+001	6.481250e+001
3.693655e+001	6.115625e+001
3.682949e+001	5.740625e+001
3.672243e+001	5.375000e+001
3.661536e+001	5.009375e+001
3.650830e+001	4.662500e+001
3.640124e+001	4.300000e+001
3.629418e+001	3.903125e+001
3.618712e+001	3.515625e+001
3.608006e+001	3.140625e+001
3.597300e+001	2.784375e+001
3.586594e+001	2.428125e+001
3.575888e+001	2.037500e+001
3.565182e+001	1.653125e+001
3.554475e+001	1.306250e+001
3.543769e+001	9.687500e+000
3.533063e+001	6.218750e+000
3.522357e+001	2.468750e+000
3.511651e+001	-1.437500e+000
3.500945e+001	-4.875000e+000
3.490239e+001	-8.000000e+000
3.479533e+001	-1.131250e+001
3.468827e+001	-1.493750e+001
3.458121e+001	-1.868750e+001
3.447414e+001	-2.212500e+001
3.436708e+001	-2.528125e+001
3.426002e+001	-2.868750e+001
3.415296e+001	-3.240625e+001
3.404590e+001	-3.596875e+001
3.393884e+001	-3.928125e+001
3.383178e+001	-4.243750e+001
3.372472e+001	-4.556250e+001
3.361766e+001	-4.900000e+001
3.351060e+001	-5.225000e+001
3.340353e+001	-5.509375e+001
3.329647e+001	-5.762500e+001
3.318941e+001	-5.978125e+001
3.308235e+001	-6.150000e+001
3.297529e+001	-6.284375e+001
3.286823e+001	-6.353125e+001
3.276117e+001	-6.384375e+001
3.265411e+001	-6.390625e+001
3.254705e+001	-6.368750e+001
3.243998e+001	-6.328125e+001
3.233292e+001	-6.231250e+001
3.222586e+001	-6.103125e+001
3.211880e+001	-5.962500e+001
3.201174e+001	-5.821875e+001
3.190468e+001	-5.693750e+001
3.179762e+001	-5.596875e+001
3.169056e+001	-5.506250e+001
3.158350e+001	-5.425000e+001
3.147644e+001	-5.359375e+001
3.136937e+001	-5.296875e+001
3.126231e+001	-5.234375e+001
3.115525e+001	-5.171875e+001
3.104819e+001	-5.125000e+001
3.094113e+001	-5.087500e+001
3.083407e+001	-5.053125e+001
3.072701e+001	-5.012500e+001
3.061995e+001	-4.971875e+001
3.051289e+001	-4.931250e+001
3.040583e+001	-4.890625e+001
3.029876e+001	-4.850000e+001
3.019170e+001	-4.803125e+001
3.008464e+001	-4.753125e+001
2.997758e+001	-4.700000e+001
2.987052e+001	-4.646875e+001
2.976346e+001	-4.593750e+001
2.965639e+001	-4.537500e+001
2.954933e+001	-4.481250e+001
2.944227e+001	-4.421875e+001
2.933521e+001	-4.359375e+001
2.922814e+001	-4.287500e+001
2.912108e+001	-4.200000e+001
2.901402e+001	-4.103125e+001
2.890696e+001	-4.006250e+001
2.879989e+001	-3.900000e+001
2.869283e+001	-3.778125e+001
2.858577e+001	-3.637500e+001
2.847870e+001	-3.481250e+001
2.837164e+001	-3.321875e+001
2.826458e+001	-3.156250e+001
2.815752e+001	-2.984375e+001
2.805045e+001	-2.812500e+001
2.794339e+001	-2.618750e+001
2.783633e+001	-2.431250e+001
2.772926e+001	-2.253125e+001
2.762220e+001	-2.068750e+001
2.751514e+001	-1.878125e+001
2.740808e+001	-1.693750e+001
2.730101e+001	-1.528125e+001
2.719395e+001	-1.368750e+001
2.708689e+001	-1.209375e+001
2.697982e+001	-1.050000e+001
2.687276e+001	-8.968750e+000
2.676570e+001	-7.468750e+000
2.665864e+001	-6.250000e+000
2.655157e+001	-5.125000e+000
2.644451e+001	-3.937500e+000
2.633745e+001	-2.781250e+000
2.623038e+001	-1.781250e+000
2.612332e+001	-8.750000e-001
2.601626e+001	6.250000e-002
2.590920e+001	9.375000e-001
2.580213e+001	1.781250e+000
2.569507e+001	2.593750e+000
2.558801e+001	3.406250e+000
2.548095e+001	4.218750e+000
2.537388e+001	5.000000e+000
2.526682e+001	5.781250e+000
2.515976e+001	6.500000e+000
2.505269e+001	7.093750e+000
2.494563e+001	7.687500e+000
2.483857e+001	8.218750e+000
2.473151e+001	8.656250e+000
2.462444e+001	9.031250e+000
2.451738e+001	9.375000e+000
2.441032e+001	9.687500e+000
2.430325e+001	9.937500e+000
2.419619e+001	1.012500e+001
2.408913e+001	1.028125e+001
2.398207e+001	1.040625e+001
2.387500e+001	1.046875e+001
2.376794e+001	1.053125e+001
2.366088e+001	1.059375e+001
2.355381e+001	1.065625e+001
2.344675e+001	1.071875e+001
