    µm         	nm
0.000000e+000	1.013040e+002
1.956947e-002	1.015720e+002
3.913894e-002	1.019472e+002
5.870842e-002	1.023760e+002
7.827789e-002	1.022152e+002
9.784736e-002	1.006072e+002
1.174168e-001	9.846320e+001
1.369863e-001	9.626559e+001
1.565558e-001	9.412160e+001
1.761252e-001	9.187040e+001
1.956947e-001	8.972640e+001
2.152642e-001	8.747519e+001
2.348337e-001	8.533119e+001
2.544031e-001	8.313360e+001
2.739726e-001	8.098959e+001
2.935421e-001	7.879200e+001
3.131115e-001	7.664800e+001
3.326810e-001	7.504000e+001
3.522505e-001	7.434320e+001
3.718200e-001	7.412880e+001
3.913894e-001	7.418240e+001
4.109589e-001	7.450399e+001
4.305284e-001	7.450399e+001
4.500978e-001	7.364640e+001
4.696673e-001	7.311040e+001
4.892368e-001	7.300320e+001
5.088062e-001	7.337839e+001
5.283757e-001	7.353920e+001
5.479452e-001	7.337839e+001
5.675147e-001	7.171680e+001
5.870841e-001	6.946560e+001
6.066536e-001	6.721439e+001
6.262231e-001	6.496320e+001
6.457926e-001	6.271200e+001
6.653621e-001	6.040720e+001
6.849315e-001	5.810240e+001
7.045010e-001	5.585120e+001
7.240704e-001	5.354640e+001
7.436399e-001	5.134880e+001
7.632094e-001	4.904400e+001
7.827788e-001	4.679280e+001
8.023483e-001	4.448800e+001
8.219178e-001	4.223680e+001
8.414873e-001	4.003920e+001
8.610567e-001	3.773440e+001
8.806262e-001	3.553680e+001
9.001957e-001	3.323200e+001
9.197652e-001	3.103440e+001
9.393347e-001	2.878320e+001
9.589041e-001	2.658560e+001
9.784736e-001	2.433440e+001
9.980430e-001	2.213680e+001
1.017612e+000	1.988560e+001
1.037182e+000	1.768800e+001
1.056751e+000	1.543680e+001
1.076321e+000	1.323920e+001
1.095890e+000	1.104160e+001
1.115460e+000	8.843999e+000
1.135029e+000	6.646400e+000
1.154599e+000	4.448800e+000
1.174168e+000	2.251200e+000
1.193738e+000	5.360000e-002
1.213307e+000	-2.090400e+000
1.232877e+000	-4.288000e+000
1.252446e+000	-6.432000e+000
1.272016e+000	-8.629599e+000
1.291585e+000	-1.077360e+001
1.311155e+000	-1.286400e+001
1.330724e+000	-1.506160e+001
1.350293e+000	-1.720560e+001
1.369863e+000	-1.934960e+001
1.389432e+000	-2.149360e+001
1.409002e+000	-2.363760e+001
1.428571e+000	-2.578160e+001
1.448141e+000	-2.792560e+001
1.467710e+000	-3.001600e+001
1.487280e+000	-3.221360e+001
1.506849e+000	-3.430400e+001
1.526419e+000	-3.644800e+001
1.545988e+000	-3.853840e+001
1.565558e+000	-4.057520e+001
1.585127e+000	-4.271920e+001
1.604697e+000	-4.480960e+001
1.624266e+000	-4.690000e+001
1.643836e+000	-4.893680e+001
1.663405e+000	-5.102720e+001
1.682975e+000	-5.306400e+001
1.702544e+000	-5.199200e+001
1.722113e+000	-4.245120e+001
1.741683e+000	-3.108800e+001
1.761252e+000	-2.079680e+001
1.780822e+000	-1.286400e+001
1.800391e+000	-8.361599e+000
1.819961e+000	-6.753600e+000
1.839530e+000	-4.341600e+000
1.859100e+000	-1.822400e+000
1.878669e+000	-2.680000e-001
1.898239e+000	-3.216000e-001
1.917808e+000	-2.036800e+000
1.937378e+000	-2.144000e+000
1.956947e+000	3.752000e-001
1.976517e+000	3.430400e+000
1.996086e+000	4.288000e+000
2.015656e+000	5.038400e+000
2.035225e+000	1.023760e+001
2.054795e+000	1.581200e+001
2.074364e+000	2.010000e+001
2.093934e+000	2.240480e+001
2.113503e+000	2.336960e+001
2.133072e+000	2.363760e+001
2.152642e+000	2.374480e+001
2.172211e+000	2.320880e+001
2.191781e+000	2.181520e+001
2.211350e+000	2.042160e+001
2.230920e+000	2.036800e+001
2.250489e+000	2.063600e+001
2.270059e+000	2.047520e+001
2.289628e+000	1.967120e+001
2.309198e+000	1.886720e+001
2.328767e+000	1.854560e+001
2.348336e+000	1.833120e+001
2.367906e+000	1.886720e+001
2.387475e+000	1.876000e+001
2.407045e+000	1.833120e+001
2.426614e+000	1.784880e+001
2.446184e+000	1.758080e+001
2.465753e+000	1.747360e+001
2.485323e+000	1.742000e+001
2.504892e+000	1.731280e+001
2.524462e+000	1.747360e+001
2.544031e+000	1.779520e+001
2.563601e+000	1.774160e+001
2.583170e+000	1.758080e+001
2.602740e+000	1.763440e+001
2.622309e+000	1.774160e+001
2.641879e+000	1.774160e+001
2.661448e+000	1.784880e+001
2.681018e+000	1.795600e+001
2.700587e+000	1.811680e+001
2.720157e+000	1.827760e+001
2.739726e+000	1.843840e+001
2.759296e+000	1.822400e+001
2.778865e+000	1.827760e+001
2.798434e+000	1.817040e+001
2.818004e+000	1.779520e+001
2.837573e+000	1.774160e+001
2.857143e+000	1.768800e+001
2.876712e+000	1.784880e+001
