    kHz         	 V
2.936336e+002	7.138062e-002
2.936393e+002	7.302856e-002
2.936451e+002	7.247925e-002
2.936509e+002	7.437134e-002
2.936567e+002	7.516479e-002
2.936625e+002	7.550049e-002
2.936682e+002	7.669067e-002
2.936740e+002	7.672119e-002
2.936798e+002	7.791138e-002
2.936856e+002	7.864380e-002
2.936913e+002	7.925415e-002
2.936971e+002	8.108521e-002
2.937029e+002	8.132935e-002
2.937087e+002	8.251953e-002
2.937145e+002	8.288574e-002
2.937203e+002	8.343506e-002
2.937260e+002	8.395386e-002
2.937318e+002	8.557129e-002
2.937376e+002	8.700562e-002
2.937433e+002	8.703613e-002
2.937491e+002	8.926392e-002
2.937549e+002	8.889771e-002
2.937607e+002	9.060669e-002
2.937665e+002	9.091187e-002
2.937722e+002	9.234619e-002
2.937780e+002	9.368896e-002
2.937838e+002	9.405518e-002
2.937896e+002	9.432983e-002
2.937953e+002	9.722900e-002
2.938011e+002	9.786987e-002
2.938069e+002	9.832764e-002
2.938127e+002	9.857178e-002
2.938185e+002	1.004944e-001
2.938243e+002	1.012878e-001
2.938300e+002	1.023254e-001
2.938358e+002	1.038208e-001
2.938416e+002	1.056824e-001
2.938473e+002	1.058350e-001
2.938531e+002	1.077576e-001
2.938589e+002	1.083069e-001
2.938647e+002	1.087646e-001
2.938705e+002	1.099548e-001
2.938763e+002	1.116028e-001
2.938820e+002	1.130676e-001
2.938878e+002	1.150513e-001
2.938936e+002	1.155701e-001
2.938993e+002	1.162415e-001
2.939051e+002	1.184998e-001
2.939109e+002	1.198730e-001
2.939167e+002	1.205750e-001
2.939225e+002	1.220703e-001
2.939282e+002	1.232300e-001
2.939340e+002	1.246033e-001
2.939398e+002	1.264954e-001
2.939456e+002	1.275635e-001
2.939514e+002	1.288147e-001
2.939571e+002	1.303101e-001
2.939629e+002	1.317139e-001
2.939687e+002	1.331787e-001
2.939745e+002	1.352539e-001
2.939803e+002	1.354980e-001
2.939860e+002	1.376038e-001
2.939918e+002	1.388245e-001
2.939976e+002	1.408386e-001
2.940034e+002	1.434326e-001
2.940092e+002	1.446533e-001
2.940149e+002	1.449890e-001
2.940207e+002	1.479797e-001
2.940265e+002	1.484680e-001
2.940323e+002	1.504211e-001
2.940380e+002	1.516724e-001
2.940438e+002	1.533508e-001
2.940496e+002	1.559448e-001
2.940554e+002	1.583862e-001
2.940612e+002	1.587219e-001
2.940669e+002	1.614990e-001
2.940727e+002	1.629028e-001
2.940785e+002	1.647339e-001
2.940843e+002	1.660767e-001
2.940900e+002	1.678162e-001
2.940958e+002	1.699829e-001
2.941016e+002	1.719360e-001
2.941074e+002	1.737366e-001
2.941132e+002	1.759644e-001
2.941189e+002	1.775818e-001
2.941247e+002	1.799927e-001
2.941305e+002	1.820679e-001
2.941363e+002	1.839294e-001
2.941420e+002	1.861572e-001
2.941478e+002	1.877136e-001
2.941536e+002	1.900635e-001
2.941594e+002	1.923523e-001
2.941652e+002	1.941528e-001
2.941709e+002	1.963196e-001
2.941767e+002	1.989746e-001
2.941825e+002	2.013550e-001
2.941882e+002	2.025146e-001
2.941940e+002	2.055664e-001
2.941998e+002	2.065125e-001
2.942056e+002	2.098999e-001
2.942114e+002	2.125244e-001
2.942172e+002	2.152100e-001
2.942229e+002	2.174377e-001
2.942287e+002	2.193909e-001
2.942345e+002	2.221375e-001
2.942403e+002	2.238464e-001
2.942460e+002	2.261658e-001
2.942518e+002	2.295837e-001
2.942576e+002	2.319641e-001
2.942634e+002	2.347412e-001
2.942692e+002	2.375183e-001
2.942749e+002	2.396545e-001
2.942807e+002	2.420044e-001
2.942865e+002	2.457886e-001
2.942923e+002	2.478943e-001
2.942981e+002	2.498474e-001
2.943038e+002	2.521667e-001
2.943096e+002	2.553101e-001
2.943154e+002	2.594299e-001
2.943212e+002	2.602539e-001
2.943269e+002	2.642212e-001
2.943327e+002	2.667542e-001
2.943385e+002	2.697754e-001
2.943443e+002	2.720947e-001
2.943501e+002	2.747803e-001
2.943558e+002	2.780151e-001
2.943616e+002	2.804871e-001
2.943674e+002	2.830200e-001
2.943732e+002	2.865906e-001
2.943789e+002	2.879944e-001
2.943847e+002	2.913818e-001
2.943905e+002	2.945251e-001
2.943963e+002	2.973022e-001
2.944021e+002	3.005066e-001
2.944078e+002	3.032532e-001
2.944136e+002	3.067017e-001
2.944194e+002	3.095398e-001
2.944252e+002	3.115234e-001
2.944309e+002	3.139038e-001
2.944367e+002	3.171082e-001
2.944425e+002	3.202515e-001
2.944483e+002	3.219910e-001
2.944541e+002	3.260498e-001
2.944598e+002	3.270874e-001
2.944656e+002	3.314819e-001
2.944714e+002	3.340149e-001
2.944772e+002	3.370972e-001
2.944829e+002	3.398438e-001
2.944887e+002	3.423767e-001
2.944945e+002	3.446655e-001
2.945003e+002	3.466492e-001
2.945061e+002	3.509827e-001
2.945118e+002	3.526611e-001
2.945176e+002	3.554077e-001
2.945234e+002	3.584595e-001
2.945292e+002	3.612671e-001
2.945349e+002	3.634949e-001
2.945407e+002	3.648682e-001
2.945465e+002	3.676147e-001
2.945523e+002	3.704529e-001
2.945581e+002	3.727417e-001
2.945638e+002	3.750916e-001
2.945696e+002	3.778381e-001
2.945754e+002	3.800964e-001
2.945812e+002	3.819275e-001
2.945870e+002	3.855896e-001
2.945927e+002	3.869324e-001
2.945985e+002	3.888245e-001
2.946043e+002	3.897705e-001
2.946101e+002	3.932495e-001
2.946158e+002	3.940735e-001
2.946216e+002	3.958740e-001
2.946274e+002	3.977661e-001
2.946332e+002	3.989563e-001
2.946390e+002	4.014282e-001
2.946447e+002	4.021606e-001
2.946505e+002	4.040833e-001
2.946563e+002	4.058533e-001
2.946621e+002	4.081421e-001
2.946678e+002	4.085999e-001
2.946736e+002	4.101257e-001
2.946794e+002	4.110413e-001
2.946852e+002	4.120789e-001
2.946910e+002	4.134521e-001
2.946968e+002	4.153748e-001
2.947025e+002	4.165649e-001
2.947083e+002	4.175720e-001
2.947141e+002	4.186401e-001
2.947198e+002	4.194946e-001
2.947256e+002	4.204102e-001
2.947314e+002	4.209900e-001
2.947372e+002	4.217834e-001
2.947430e+002	4.231262e-001
2.947488e+002	4.240112e-001
2.947545e+002	4.245605e-001
2.947603e+002	4.259338e-001
2.947661e+002	4.260559e-001
2.947718e+002	4.261169e-001
2.947776e+002	4.268494e-001
2.947834e+002	4.278564e-001
2.947892e+002	4.284973e-001
2.947950e+002	4.290466e-001
2.948007e+002	4.303589e-001
2.948065e+002	4.305725e-001
2.948123e+002	4.305420e-001
2.948181e+002	4.308167e-001
2.948238e+002	4.319153e-001
2.948296e+002	4.308472e-001
2.948354e+002	4.320374e-001
2.948412e+002	4.320679e-001
2.948470e+002	4.327698e-001
2.948528e+002	4.345093e-001
2.948585e+002	4.343567e-001
2.948643e+002	4.347229e-001
2.948701e+002	4.346924e-001
2.948759e+002	4.348755e-001
2.948816e+002	4.354553e-001
2.948874e+002	4.354858e-001
2.948932e+002	4.360657e-001
2.948990e+002	4.367065e-001
2.949047e+002	4.371948e-001
2.949105e+002	4.375610e-001
2.949163e+002	4.382935e-001
2.949221e+002	4.388123e-001
2.949279e+002	4.384155e-001
2.949337e+002	4.390259e-001
2.949394e+002	4.399109e-001
2.949452e+002	4.403687e-001
2.949510e+002	4.406738e-001
2.949568e+002	4.415894e-001
2.949625e+002	4.418945e-001
2.949683e+002	4.435425e-001
2.949741e+002	4.437256e-001
2.949799e+002	4.437256e-001
2.949857e+002	4.451294e-001
2.949914e+002	4.447632e-001
2.949972e+002	4.461975e-001
2.950030e+002	4.479065e-001
2.950088e+002	4.482727e-001
2.950145e+002	4.496765e-001
2.950203e+002	4.492798e-001
2.950261e+002	4.508972e-001
2.950319e+002	4.518433e-001
2.950377e+002	4.534302e-001
2.950434e+002	4.544373e-001
2.950492e+002	4.549255e-001
2.950550e+002	4.559021e-001
2.950607e+002	4.576721e-001
2.950665e+002	4.582825e-001
2.950723e+002	4.598999e-001
2.950781e+002	4.606018e-001
2.950839e+002	4.619446e-001
2.950897e+002	4.635925e-001
2.950954e+002	4.644775e-001
2.951012e+002	4.660645e-001
2.951070e+002	4.663391e-001
2.951128e+002	4.681396e-001
2.951185e+002	4.693604e-001
2.951243e+002	4.707031e-001
2.951301e+002	4.712219e-001
2.951359e+002	4.733887e-001
2.951417e+002	4.754028e-001
2.951474e+002	4.761047e-001
2.951532e+002	4.766541e-001
2.951590e+002	4.782715e-001
2.951648e+002	4.795837e-001
2.951705e+002	4.808350e-001
2.951763e+002	4.816895e-001
2.951821e+002	4.819641e-001
2.951879e+002	4.834290e-001
2.951937e+002	4.844971e-001
2.951994e+002	4.849854e-001
2.952052e+002	4.859619e-001
2.952110e+002	4.876099e-001
2.952168e+002	4.880066e-001
2.952226e+002	4.879761e-001
2.952283e+002	4.882507e-001
2.952341e+002	4.899597e-001
2.952399e+002	4.890747e-001
2.952457e+002	4.891052e-001
2.952514e+002	4.906616e-001
2.952572e+002	4.901123e-001
2.952630e+002	4.912720e-001
2.952688e+002	4.905701e-001
2.952746e+002	4.909363e-001
2.952803e+002	4.906921e-001
2.952861e+002	4.901428e-001
2.952919e+002	4.897766e-001
2.952977e+002	4.877930e-001
2.953034e+002	4.887695e-001
2.953092e+002	4.873962e-001
2.953150e+002	4.875183e-001
2.953208e+002	4.863281e-001
2.953266e+002	4.855957e-001
2.953323e+002	4.848022e-001
2.953381e+002	4.829407e-001
2.953439e+002	4.831848e-001
2.953497e+002	4.820862e-001
2.953554e+002	4.810181e-001
2.953612e+002	4.786072e-001
2.953670e+002	4.779358e-001
2.953728e+002	4.764404e-001
2.953786e+002	4.753113e-001
2.953843e+002	4.741821e-001
2.953901e+002	4.721680e-001
2.953959e+002	4.708557e-001
2.954017e+002	4.688721e-001
2.954074e+002	4.672546e-001
2.954132e+002	4.652100e-001
2.954190e+002	4.640808e-001
2.954248e+002	4.626160e-001
2.954306e+002	4.606018e-001
2.954363e+002	4.592590e-001
2.954421e+002	4.564514e-001
2.954479e+002	4.553223e-001
2.954537e+002	4.533997e-001
2.954594e+002	4.519348e-001
2.954652e+002	4.495544e-001
2.954710e+002	4.474182e-001
2.954768e+002	4.456482e-001
2.954826e+002	4.436951e-001
2.954883e+002	4.410706e-001
2.954941e+002	4.394531e-001
2.954999e+002	4.376526e-001
2.955057e+002	4.347534e-001
2.955115e+002	4.330139e-001
2.955172e+002	4.313354e-001
2.955230e+002	4.290161e-001
2.955288e+002	4.266968e-001
2.955346e+002	4.238281e-001
2.955403e+002	4.222412e-001
2.955461e+002	4.199829e-001
2.955519e+002	4.182129e-001
2.955577e+002	4.155579e-001
2.955635e+002	4.132690e-001
