    kHz         	 V
2.876308e+002	6.066895e-002
2.876364e+002	6.085205e-002
2.876421e+002	6.182861e-002
2.876478e+002	6.094360e-002
2.876534e+002	6.146240e-002
2.876591e+002	6.106567e-002
2.876647e+002	6.112671e-002
2.876704e+002	6.106567e-002
2.876761e+002	6.195068e-002
2.876817e+002	6.204224e-002
2.876874e+002	6.152344e-002
2.876930e+002	6.140137e-002
2.876987e+002	6.167603e-002
2.877043e+002	6.149292e-002
2.877100e+002	6.158447e-002
2.877157e+002	6.222534e-002
2.877213e+002	6.170654e-002
2.877270e+002	6.213379e-002
2.877326e+002	6.161499e-002
2.877383e+002	6.207275e-002
2.877440e+002	6.234741e-002
2.877496e+002	6.259155e-002
2.877553e+002	6.283569e-002
2.877609e+002	6.240845e-002
2.877666e+002	6.307983e-002
2.877722e+002	6.311035e-002
2.877779e+002	6.378174e-002
2.877836e+002	6.365967e-002
2.877892e+002	6.341553e-002
2.877949e+002	6.402588e-002
2.878005e+002	6.353760e-002
2.878062e+002	6.387329e-002
2.878119e+002	6.365967e-002
2.878175e+002	6.439209e-002
2.878232e+002	6.442261e-002
2.878288e+002	6.427002e-002
2.878345e+002	6.414795e-002
2.878402e+002	6.494141e-002
2.878458e+002	6.515503e-002
2.878515e+002	6.515503e-002
2.878571e+002	6.594849e-002
2.878628e+002	6.558228e-002
2.878684e+002	6.643677e-002
2.878741e+002	6.552124e-002
2.878798e+002	6.661987e-002
2.878854e+002	6.597900e-002
2.878911e+002	6.674194e-002
2.878968e+002	6.607056e-002
2.879024e+002	6.677246e-002
2.879081e+002	6.799316e-002
2.879137e+002	6.719971e-002
2.879194e+002	6.814575e-002
2.879250e+002	6.838989e-002
2.879307e+002	6.710815e-002
2.879363e+002	6.793213e-002
2.879420e+002	6.924438e-002
2.879477e+002	6.896973e-002
2.879533e+002	6.921387e-002
2.879590e+002	6.942749e-002
2.879647e+002	6.997681e-002
2.879703e+002	7.040405e-002
2.879760e+002	7.040405e-002
2.879816e+002	7.046509e-002
2.879873e+002	7.174683e-002
2.879929e+002	7.174683e-002
2.879986e+002	7.174683e-002
2.880043e+002	7.147217e-002
2.880099e+002	7.241821e-002
2.880156e+002	7.208252e-002
2.880213e+002	7.208252e-002
2.880269e+002	7.284546e-002
2.880326e+002	7.397461e-002
2.880382e+002	7.431030e-002
2.880439e+002	7.369995e-002
2.880495e+002	7.391357e-002
2.880552e+002	7.498169e-002
2.880608e+002	7.516479e-002
2.880665e+002	7.489014e-002
2.880722e+002	7.647705e-002
2.880778e+002	7.659912e-002
2.880835e+002	7.675171e-002
2.880892e+002	7.684326e-002
2.880948e+002	7.739258e-002
2.881005e+002	7.882690e-002
2.881061e+002	7.839966e-002
2.881118e+002	7.894897e-002
2.881174e+002	7.901001e-002
2.881231e+002	8.004761e-002
2.881288e+002	8.041382e-002
2.881344e+002	8.081055e-002
2.881401e+002	8.154297e-002
2.881457e+002	8.129883e-002
2.881514e+002	8.157349e-002
2.881571e+002	8.242798e-002
2.881627e+002	8.361816e-002
2.881684e+002	8.282471e-002
2.881740e+002	8.432007e-002
2.881797e+002	8.447266e-002
2.881853e+002	8.505249e-002
2.881910e+002	8.569336e-002
2.881967e+002	8.654785e-002
2.882023e+002	8.752441e-002
2.882080e+002	8.755493e-002
2.882136e+002	8.801270e-002
2.882193e+002	8.871460e-002
2.882249e+002	8.993530e-002
2.882306e+002	9.020996e-002
2.882363e+002	9.100342e-002
2.882419e+002	9.140015e-002
2.882476e+002	9.237671e-002
2.882532e+002	9.252930e-002
2.882589e+002	9.381104e-002
2.882646e+002	9.405518e-002
2.882702e+002	9.533691e-002
2.882759e+002	9.579468e-002
2.882815e+002	9.631348e-002
2.882872e+002	9.707642e-002
2.882928e+002	9.832764e-002
2.882985e+002	9.924316e-002
2.883042e+002	9.976196e-002
2.883098e+002	1.004333e-001
2.883155e+002	1.016541e-001
2.883212e+002	1.013794e-001
2.883268e+002	1.031189e-001
2.883325e+002	1.039429e-001
2.883381e+002	1.052551e-001
2.883438e+002	1.053772e-001
2.883494e+002	1.061096e-001
2.883551e+002	1.072388e-001
2.883608e+002	1.085205e-001
2.883664e+002	1.094971e-001
2.883721e+002	1.112061e-001
2.883777e+002	1.117859e-001
2.883834e+002	1.129761e-001
2.883891e+002	1.136169e-001
2.883947e+002	1.153564e-001
2.884004e+002	1.160889e-001
2.884060e+002	1.170959e-001
2.884117e+002	1.181641e-001
2.884173e+002	1.188354e-001
2.884230e+002	1.209106e-001
2.884287e+002	1.218262e-001
2.884343e+002	1.232910e-001
2.884400e+002	1.246033e-001
2.884457e+002	1.251526e-001
2.884513e+002	1.268616e-001
2.884570e+002	1.284180e-001
2.884626e+002	1.294861e-001
2.884683e+002	1.318359e-001
2.884739e+002	1.329346e-001
2.884796e+002	1.343689e-001
2.884853e+002	1.358643e-001
2.884909e+002	1.362305e-001
2.884966e+002	1.381836e-001
2.885022e+002	1.392822e-001
2.885079e+002	1.405334e-001
2.885136e+002	1.428528e-001
2.885192e+002	1.436462e-001
2.885249e+002	1.458740e-001
2.885305e+002	1.482544e-001
2.885362e+002	1.486206e-001
2.885418e+002	1.512451e-001
2.885475e+002	1.528625e-001
2.885532e+002	1.548767e-001
2.885588e+002	1.565552e-001
2.885645e+002	1.582031e-001
2.885701e+002	1.599121e-001
2.885758e+002	1.622620e-001
2.885815e+002	1.650696e-001
2.885871e+002	1.665344e-001
2.885928e+002	1.688232e-001
2.885984e+002	1.708984e-001
2.886041e+002	1.719055e-001
2.886098e+002	1.754456e-001
2.886154e+002	1.766052e-001
2.886211e+002	1.795654e-001
2.886267e+002	1.822815e-001
2.886324e+002	1.840210e-001
2.886380e+002	1.857300e-001
2.886437e+002	1.895142e-001
2.886494e+002	1.907654e-001
2.886550e+002	1.936951e-001
2.886607e+002	1.967773e-001
2.886663e+002	1.986084e-001
2.886720e+002	2.007141e-001
2.886777e+002	2.037659e-001
2.886833e+002	2.068481e-001
2.886890e+002	2.092896e-001
2.886946e+002	2.122192e-001
2.887003e+002	2.147522e-001
2.887059e+002	2.181396e-001
2.887116e+002	2.209473e-001
2.887173e+002	2.246399e-001
2.887229e+002	2.267761e-001
2.887286e+002	2.306824e-001
2.887343e+002	2.337036e-001
2.887399e+002	2.362671e-001
2.887456e+002	2.393188e-001
2.887512e+002	2.424011e-001
2.887569e+002	2.459717e-001
2.887625e+002	2.491150e-001
2.887682e+002	2.533264e-001
2.887738e+002	2.571716e-001
2.887795e+002	2.600708e-001
2.887852e+002	2.636108e-001
2.887908e+002	2.678528e-001
2.887965e+002	2.705994e-001
2.888022e+002	2.742920e-001
2.888078e+002	2.781677e-001
2.888135e+002	2.827454e-001
2.888191e+002	2.863159e-001
2.888248e+002	2.897644e-001
2.888304e+002	2.945862e-001
2.888361e+002	2.985535e-001
2.888417e+002	3.023987e-001
2.888474e+002	3.061829e-001
2.888531e+002	3.101501e-001
2.888587e+002	3.151550e-001
2.888644e+002	3.188782e-001
2.888701e+002	3.232727e-001
2.888757e+002	3.281860e-001
2.888814e+002	3.311157e-001
2.888870e+002	3.359375e-001
2.888927e+002	3.408203e-001
2.888983e+002	3.448792e-001
2.889040e+002	3.498840e-001
2.889097e+002	3.529358e-001
2.889153e+002	3.577881e-001
2.889210e+002	3.623352e-001
2.889267e+002	3.673706e-001
2.889323e+002	3.712158e-001
2.889380e+002	3.760376e-001
2.889436e+002	3.806763e-001
2.889493e+002	3.848572e-001
2.889549e+002	3.895874e-001
2.889606e+002	3.931580e-001
2.889663e+002	3.981018e-001
2.889719e+002	4.028320e-001
2.889776e+002	4.073181e-001
2.889832e+002	4.113770e-001
2.889889e+002	4.163818e-001
2.889946e+002	4.197083e-001
2.890002e+002	4.243469e-001
2.890059e+002	4.282532e-001
2.890115e+002	4.318542e-001
2.890172e+002	4.364929e-001
