    nm         	mV
5.508263e+001	1.950000e+002
5.497483e+001	1.927500e+002
5.486704e+001	1.927500e+002
5.475925e+001	1.908750e+002
5.465145e+001	1.841250e+002
5.454366e+001	1.777500e+002
5.443587e+001	1.786875e+002
5.432808e+001	1.756563e+002
5.422028e+001	1.727500e+002
5.411249e+001	1.693438e+002
5.400470e+001	1.656250e+002
5.389690e+001	1.622812e+002
5.378911e+001	1.595000e+002
5.368132e+001	1.567500e+002
5.357353e+001	1.538125e+002
5.346573e+001	1.503750e+002
5.335794e+001	1.472500e+002
5.325015e+001	1.448438e+002
5.314235e+001	1.425312e+002
5.303456e+001	1.398437e+002
5.292677e+001	1.365312e+002
5.281898e+001	1.334687e+002
5.271118e+001	1.308750e+002
5.260339e+001	1.285000e+002
5.249560e+001	1.255938e+002
5.238780e+001	1.221250e+002
5.228001e+001	1.187500e+002
5.217222e+001	1.158125e+002
5.206443e+001	1.131563e+002
5.195663e+001	1.100312e+002
5.184884e+001	1.063125e+002
5.174105e+001	1.026875e+002
5.163325e+001	9.978125e+001
5.152546e+001	9.703125e+001
5.141767e+001	9.409375e+001
5.130988e+001	9.068750e+001
5.120208e+001	8.743750e+001
5.109429e+001	8.490625e+001
5.098650e+001	8.268750e+001
5.087870e+001	8.037500e+001
5.077091e+001	7.740625e+001
5.066312e+001	7.431250e+001
5.055533e+001	7.184375e+001
5.044753e+001	6.975000e+001
5.033974e+001	6.740625e+001
5.023195e+001	6.465625e+001
5.012415e+001	6.162500e+001
5.001636e+001	5.890625e+001
4.990857e+001	5.656250e+001
4.980078e+001	5.415625e+001
4.969298e+001	5.121875e+001
4.958519e+001	4.790625e+001
4.947740e+001	4.496875e+001
4.936960e+001	4.243750e+001
4.926181e+001	3.996875e+001
4.915402e+001	3.709375e+001
4.904622e+001	3.393750e+001
4.893843e+001	3.112500e+001
4.883064e+001	2.881250e+001
4.872285e+001	2.668750e+001
4.861505e+001	2.431250e+001
4.850726e+001	2.137500e+001
4.839947e+001	1.865625e+001
4.829167e+001	1.650000e+001
4.818388e+001	1.453125e+001
4.807609e+001	1.246875e+001
4.796830e+001	9.656250e+000
4.786050e+001	6.906250e+000
4.775271e+001	4.687500e+000
4.764492e+001	2.718750e+000
4.753712e+001	5.937499e-001
4.742933e+001	-2.218750e+000
4.732154e+001	-5.218750e+000
4.721375e+001	-7.625000e+000
4.710595e+001	-9.593750e+000
4.699816e+001	-1.171875e+001
4.689037e+001	-1.434375e+001
4.678257e+001	-1.731250e+001
4.667478e+001	-1.950000e+001
4.656699e+001	-2.115625e+001
