    kHz         	 V
2.932117e+002	5.111694e-002
2.932175e+002	5.258179e-002
2.932233e+002	5.191040e-002
2.932290e+002	5.328369e-002
2.932348e+002	5.374146e-002
2.932406e+002	5.349731e-002
2.932463e+002	5.355835e-002
2.932521e+002	5.426025e-002
2.932579e+002	5.453491e-002
2.932637e+002	5.496216e-002
2.932694e+002	5.545044e-002
2.932752e+002	5.581665e-002
2.932809e+002	5.609131e-002
2.932867e+002	5.651855e-002
2.932925e+002	5.676270e-002
2.932983e+002	5.761719e-002
2.933040e+002	5.734253e-002
2.933098e+002	5.834961e-002
2.933156e+002	5.798340e-002
2.933213e+002	5.935669e-002
2.933271e+002	5.944824e-002
2.933329e+002	5.923462e-002
2.933387e+002	6.051636e-002
2.933444e+002	6.063843e-002
2.933502e+002	5.981445e-002
2.933559e+002	6.155396e-002
2.933617e+002	6.253052e-002
2.933675e+002	6.262207e-002
2.933732e+002	6.292725e-002
2.933790e+002	6.304932e-002
2.933848e+002	6.417847e-002
2.933906e+002	6.481934e-002
2.933963e+002	6.475830e-002
2.934021e+002	6.567383e-002
2.934079e+002	6.637573e-002
2.934137e+002	6.652832e-002
2.934194e+002	6.719971e-002
2.934252e+002	6.768799e-002
2.934309e+002	6.851196e-002
2.934367e+002	6.811523e-002
2.934425e+002	6.906128e-002
2.934483e+002	6.936646e-002
2.934540e+002	7.043457e-002
2.934598e+002	7.070923e-002
2.934656e+002	7.119751e-002
2.934713e+002	7.156372e-002
2.934771e+002	7.205200e-002
2.934829e+002	7.333374e-002
2.934887e+002	7.308960e-002
2.934944e+002	7.391357e-002
2.935002e+002	7.495117e-002
2.935059e+002	7.501221e-002
2.935117e+002	7.550049e-002
2.935175e+002	7.598877e-002
2.935233e+002	7.635498e-002
2.935290e+002	7.778931e-002
2.935348e+002	7.778931e-002
2.935406e+002	7.849121e-002
2.935463e+002	7.891846e-002
2.935521e+002	7.931519e-002
2.935579e+002	8.090210e-002
2.935637e+002	8.126831e-002
2.935694e+002	8.135986e-002
2.935752e+002	8.258057e-002
2.935810e+002	8.239746e-002
2.935867e+002	8.355713e-002
2.935925e+002	8.432007e-002
2.935983e+002	8.489990e-002
2.936040e+002	8.605957e-002
2.936098e+002	8.566284e-002
2.936156e+002	8.587646e-002
2.936213e+002	8.755493e-002
2.936271e+002	8.770752e-002
2.936329e+002	8.843994e-002
2.936387e+002	8.850098e-002
2.936444e+002	9.036255e-002
2.936502e+002	9.118652e-002
2.936560e+002	9.213257e-002
2.936617e+002	9.246826e-002
2.936675e+002	9.259033e-002
2.936733e+002	9.399414e-002
2.936790e+002	9.512329e-002
2.936848e+002	9.533691e-002
2.936906e+002	9.655762e-002
2.936963e+002	9.677124e-002
2.937021e+002	9.756470e-002
2.937079e+002	9.863281e-002
2.937137e+002	9.951782e-002
2.937194e+002	1.000366e-001
2.937252e+002	1.021423e-001
2.937310e+002	1.015015e-001
2.937367e+002	1.026917e-001
2.937425e+002	1.033325e-001
2.937482e+002	1.037292e-001
2.937540e+002	1.049500e-001
2.937598e+002	1.055908e-001
2.937656e+002	1.065979e-001
2.937713e+002	1.082764e-001
2.937771e+002	1.080627e-001
2.937829e+002	1.092834e-001
2.937887e+002	1.098633e-001
2.937944e+002	1.106567e-001
2.938002e+002	1.123352e-001
2.938060e+002	1.126099e-001
2.938117e+002	1.138000e-001
2.938175e+002	1.143494e-001
2.938233e+002	1.153870e-001
2.938290e+002	1.177063e-001
2.938348e+002	1.174011e-001
2.938406e+002	1.182556e-001
2.938463e+002	1.188049e-001
2.938521e+002	1.210022e-001
2.938579e+002	1.213989e-001
2.938637e+002	1.230164e-001
2.938694e+002	1.237183e-001
2.938752e+002	1.252747e-001
2.938810e+002	1.261292e-001
2.938867e+002	1.275330e-001
2.938925e+002	1.287842e-001
2.938983e+002	1.297607e-001
2.939040e+002	1.300049e-001
2.939098e+002	1.311646e-001
2.939156e+002	1.326599e-001
2.939213e+002	1.333923e-001
2.939271e+002	1.347961e-001
2.939329e+002	1.365051e-001
2.939387e+002	1.372070e-001
2.939444e+002	1.382446e-001
2.939502e+002	1.402588e-001
2.939560e+002	1.402283e-001
2.939617e+002	1.420288e-001
2.939675e+002	1.433411e-001
2.939733e+002	1.442261e-001
2.939790e+002	1.464233e-001
2.939848e+002	1.477051e-001
2.939906e+002	1.490479e-001
2.939963e+002	1.495056e-001
2.940021e+002	1.517944e-001
2.940079e+002	1.522827e-001
2.940137e+002	1.548462e-001
2.940194e+002	1.564941e-001
2.940252e+002	1.573486e-001
2.940310e+002	1.578674e-001
2.940367e+002	1.600952e-001
2.940425e+002	1.618958e-001
2.940483e+002	1.629639e-001
2.940540e+002	1.638794e-001
2.940598e+002	1.658020e-001
2.940656e+002	1.680298e-001
2.940713e+002	1.690979e-001
2.940771e+002	1.714783e-001
2.940829e+002	1.725159e-001
2.940887e+002	1.745605e-001
2.940944e+002	1.757202e-001
2.941002e+002	1.767273e-001
2.941060e+002	1.799927e-001
2.941117e+002	1.813965e-001
2.941175e+002	1.831970e-001
2.941233e+002	1.850586e-001
2.941290e+002	1.864319e-001
2.941348e+002	1.884460e-001
2.941406e+002	1.900024e-001
2.941463e+002	1.918945e-001
2.941521e+002	1.942139e-001
2.941579e+002	1.958923e-001
2.941637e+002	1.980591e-001
2.941694e+002	2.006836e-001
2.941752e+002	2.024231e-001
2.941810e+002	2.043457e-001
2.941867e+002	2.061157e-001
2.941925e+002	2.081909e-001
