    kHz         	 V
2.876223e+002	9.146118e-002
2.876279e+002	9.185791e-002
2.876336e+002	9.210205e-002
2.876393e+002	9.222412e-002
2.876449e+002	9.167480e-002
2.876506e+002	9.164429e-002
2.876563e+002	9.167480e-002
2.876619e+002	9.231567e-002
2.876676e+002	9.066772e-002
2.876732e+002	9.088135e-002
2.876789e+002	9.143066e-002
2.876845e+002	9.124756e-002
2.876902e+002	9.146118e-002
2.876958e+002	9.176636e-002
2.877015e+002	9.164429e-002
2.877072e+002	9.149170e-002
2.877128e+002	9.094238e-002
2.877185e+002	9.130859e-002
2.877242e+002	9.191895e-002
2.877298e+002	9.140015e-002
2.877355e+002	9.173584e-002
2.877411e+002	9.149170e-002
2.877468e+002	9.213257e-002
2.877524e+002	9.225464e-002
2.877581e+002	9.097290e-002
2.877638e+002	9.124756e-002
2.877694e+002	9.164429e-002
2.877751e+002	9.228516e-002
2.877807e+002	9.188843e-002
2.877864e+002	9.207153e-002
2.877921e+002	9.240723e-002
2.877977e+002	9.240723e-002
2.878034e+002	9.237671e-002
2.878090e+002	9.240723e-002
2.878147e+002	9.207153e-002
2.878203e+002	9.255981e-002
2.878260e+002	9.298706e-002
2.878317e+002	9.310913e-002
2.878373e+002	9.301758e-002
2.878430e+002	9.408569e-002
2.878486e+002	9.387207e-002
2.878543e+002	9.375000e-002
2.878600e+002	9.353638e-002
2.878656e+002	9.307861e-002
2.878713e+002	9.347534e-002
2.878769e+002	9.344482e-002
2.878826e+002	9.365845e-002
2.878883e+002	9.420776e-002
2.878939e+002	9.454346e-002
2.878996e+002	9.399414e-002
2.879052e+002	9.381104e-002
2.879109e+002	9.512329e-002
2.879165e+002	9.524536e-002
2.879222e+002	9.414673e-002
2.879279e+002	9.524536e-002
2.879335e+002	9.533691e-002
2.879392e+002	9.530640e-002
2.879448e+002	9.585571e-002
2.879505e+002	9.689331e-002
2.879562e+002	9.597778e-002
2.879618e+002	9.686279e-002
2.879675e+002	9.713745e-002
2.879731e+002	9.756470e-002
2.879788e+002	9.686279e-002
2.879844e+002	9.762573e-002
2.879901e+002	9.786987e-002
2.879958e+002	9.829712e-002
2.880014e+002	9.899902e-002
2.880071e+002	9.881592e-002
2.880127e+002	9.881592e-002
2.880184e+002	9.912109e-002
2.880241e+002	9.954834e-002
2.880297e+002	9.997559e-002
2.880354e+002	1.007080e-001
2.880410e+002	1.009521e-001
2.880467e+002	1.007996e-001
2.880523e+002	1.015015e-001
2.880580e+002	1.011963e-001
2.880637e+002	1.017761e-001
2.880693e+002	1.022644e-001
2.880750e+002	1.019592e-001
2.880807e+002	1.036072e-001
2.880863e+002	1.041870e-001
2.880920e+002	1.031494e-001
2.880976e+002	1.044617e-001
2.881033e+002	1.052246e-001
2.881089e+002	1.052551e-001
