    kHz         	 V
2.974057e+002	6.710815e-002
2.974116e+002	6.710815e-002
2.974174e+002	6.683350e-002
2.974233e+002	6.646729e-002
2.974291e+002	6.726074e-002
2.974350e+002	6.796265e-002
2.974408e+002	6.723022e-002
2.974467e+002	6.866455e-002
2.974525e+002	6.805420e-002
2.974584e+002	6.771851e-002
2.974642e+002	6.900024e-002
2.974701e+002	6.854248e-002
2.974759e+002	6.906128e-002
2.974818e+002	7.052612e-002
2.974876e+002	7.040405e-002
2.974935e+002	7.064819e-002
2.974993e+002	7.022095e-002
2.975052e+002	7.135010e-002
2.975110e+002	7.144165e-002
2.975169e+002	7.235718e-002
2.975228e+002	7.247925e-002
2.975286e+002	7.254028e-002
2.975344e+002	7.174683e-002
2.975403e+002	7.296753e-002
2.975462e+002	7.327271e-002
2.975520e+002	7.354736e-002
2.975578e+002	7.382202e-002
2.975637e+002	7.507324e-002
2.975696e+002	7.437134e-002
2.975754e+002	7.440186e-002
2.975813e+002	7.467651e-002
2.975871e+002	7.531738e-002
2.975930e+002	7.540894e-002
2.975988e+002	7.644653e-002
2.976047e+002	7.653809e-002
2.976105e+002	7.672119e-002
2.976164e+002	7.678223e-002
2.976222e+002	7.720947e-002
2.976281e+002	7.699585e-002
2.976339e+002	7.781982e-002
2.976398e+002	7.922363e-002
2.976456e+002	7.916260e-002
2.976515e+002	7.925415e-002
2.976573e+002	7.916260e-002
2.976632e+002	7.949829e-002
2.976690e+002	8.059692e-002
2.976749e+002	8.053589e-002
2.976807e+002	8.123779e-002
2.976866e+002	8.270264e-002
2.976924e+002	8.251953e-002
2.976983e+002	8.309937e-002
2.977041e+002	8.331299e-002
2.977100e+002	8.343506e-002
2.977158e+002	8.505249e-002
2.977217e+002	8.419800e-002
2.977275e+002	8.477783e-002
2.977334e+002	8.441162e-002
2.977393e+002	8.563232e-002
2.977451e+002	8.624268e-002
2.977509e+002	8.700562e-002
2.977568e+002	8.642578e-002
2.977627e+002	8.801270e-002
2.977685e+002	8.758545e-002
2.977743e+002	8.816528e-002
2.977802e+002	8.963013e-002
2.977861e+002	8.944702e-002
2.977919e+002	9.097290e-002
2.977978e+002	9.063721e-002
2.978036e+002	9.094238e-002
2.978095e+002	9.182739e-002
2.978153e+002	9.237671e-002
2.978212e+002	9.210205e-002
2.978270e+002	9.313965e-002
2.978329e+002	9.420776e-002
2.978387e+002	9.426880e-002
2.978446e+002	9.475708e-002
2.978504e+002	9.451294e-002
2.978563e+002	9.564209e-002
2.978621e+002	9.600830e-002
2.978680e+002	9.552002e-002
2.978738e+002	9.677124e-002
2.978797e+002	9.677124e-002
2.978855e+002	9.774780e-002
2.978914e+002	9.927368e-002
2.978972e+002	9.973145e-002
2.979031e+002	9.976196e-002
2.979089e+002	1.008606e-001
2.979148e+002	1.011047e-001
2.979206e+002	1.017456e-001
2.979265e+002	1.014404e-001
2.979323e+002	1.024780e-001
2.979382e+002	1.027222e-001
2.979440e+002	1.026611e-001
2.979499e+002	1.035461e-001
2.979558e+002	1.034851e-001
2.979616e+002	1.048889e-001
2.979674e+002	1.058350e-001
2.979733e+002	1.066895e-001
2.979792e+002	1.079407e-001
2.979850e+002	1.078796e-001
2.979908e+002	1.073303e-001
2.979967e+002	1.082458e-001
2.980026e+002	1.081543e-001
2.980084e+002	1.093445e-001
2.980143e+002	1.099854e-001
2.980201e+002	1.096497e-001
2.980259e+002	1.118469e-001
2.980318e+002	1.119385e-001
2.980377e+002	1.120605e-001
2.980435e+002	1.131592e-001
2.980493e+002	1.138306e-001
2.980552e+002	1.144409e-001
2.980611e+002	1.148987e-001
2.980669e+002	1.157532e-001
2.980727e+002	1.170044e-001
2.980786e+002	1.164551e-001
2.980845e+002	1.181030e-001
2.980903e+002	1.178589e-001
2.980962e+002	1.194763e-001
2.981020e+002	1.202698e-001
2.981079e+002	1.205444e-001
2.981137e+002	1.221008e-001
2.981196e+002	1.216736e-001
2.981254e+002	1.229858e-001
2.981313e+002	1.237488e-001
2.981371e+002	1.235046e-001
2.981430e+002	1.250610e-001
2.981488e+002	1.254883e-001
2.981547e+002	1.266785e-001
2.981605e+002	1.272888e-001
2.981664e+002	1.275330e-001
2.981723e+002	1.282349e-001
2.981781e+002	1.304932e-001
2.981839e+002	1.321106e-001
2.981898e+002	1.319275e-001
2.981956e+002	1.331177e-001
2.982015e+002	1.330261e-001
2.982073e+002	1.342773e-001
2.982132e+002	1.352539e-001
2.982190e+002	1.375732e-001
2.982249e+002	1.376038e-001
2.982308e+002	1.378174e-001
2.982366e+002	1.393127e-001
2.982424e+002	1.406555e-001
2.982483e+002	1.407166e-001
2.982542e+002	1.421204e-001
2.982600e+002	1.434326e-001
2.982658e+002	1.434021e-001
2.982717e+002	1.460571e-001
2.982776e+002	1.461487e-001
2.982834e+002	1.472778e-001
2.982892e+002	1.489868e-001
2.982951e+002	1.493225e-001
