    kHz         	 V
3.058338e+002	1.372681e-001
3.058398e+002	1.369019e-001
3.058458e+002	1.375122e-001
3.058518e+002	1.375427e-001
3.058578e+002	1.375122e-001
3.058639e+002	1.369019e-001
3.058699e+002	1.380005e-001
3.058759e+002	1.377869e-001
3.058819e+002	1.374512e-001
3.058879e+002	1.376953e-001
3.058940e+002	1.381226e-001
3.059000e+002	1.387024e-001
3.059060e+002	1.398315e-001
3.059120e+002	1.400757e-001
3.059180e+002	1.399841e-001
3.059241e+002	1.399536e-001
3.059301e+002	1.410828e-001
3.059361e+002	1.413269e-001
3.059421e+002	1.417847e-001
3.059481e+002	1.427002e-001
3.059542e+002	1.434021e-001
3.059602e+002	1.439819e-001
3.059662e+002	1.437378e-001
3.059722e+002	1.453247e-001
3.059782e+002	1.455078e-001
3.059842e+002	1.465759e-001
3.059903e+002	1.481323e-001
3.059963e+002	1.480103e-001
3.060023e+002	1.495361e-001
3.060083e+002	1.493530e-001
3.060143e+002	1.500549e-001
3.060203e+002	1.516113e-001
3.060263e+002	1.513062e-001
3.060324e+002	1.523743e-001
3.060384e+002	1.532593e-001
3.060444e+002	1.541748e-001
3.060504e+002	1.551514e-001
3.060564e+002	1.556396e-001
3.060625e+002	1.575317e-001
3.060685e+002	1.575012e-001
3.060745e+002	1.582947e-001
3.060805e+002	1.597595e-001
3.060865e+002	1.603088e-001
3.060926e+002	1.613770e-001
3.060986e+002	1.625366e-001
3.061046e+002	1.632690e-001
3.061106e+002	1.640015e-001
3.061166e+002	1.650696e-001
3.061227e+002	1.666260e-001
3.061287e+002	1.672058e-001
3.061347e+002	1.681519e-001
3.061407e+002	1.682434e-001
3.061467e+002	1.695557e-001
3.061527e+002	1.706238e-001
3.061588e+002	1.711121e-001
3.061648e+002	1.729431e-001
3.061708e+002	1.737976e-001
3.061768e+002	1.743774e-001
3.061828e+002	1.751099e-001
3.061888e+002	1.767578e-001
3.061949e+002	1.774292e-001
3.062009e+002	1.784668e-001
3.062069e+002	1.796875e-001
3.062129e+002	1.808167e-001
3.062189e+002	1.817322e-001
3.062249e+002	1.827698e-001
3.062310e+002	1.834106e-001
3.062370e+002	1.846619e-001
3.062430e+002	1.853943e-001
3.062490e+002	1.857300e-001
3.062550e+002	1.861267e-001
3.062611e+002	1.885376e-001
3.062671e+002	1.890869e-001
3.062731e+002	1.906738e-001
3.062791e+002	1.909485e-001
3.062851e+002	1.931458e-001
3.062912e+002	1.941223e-001
3.062972e+002	1.950378e-001
3.063032e+002	1.949463e-001
3.063092e+002	1.965942e-001
3.063152e+002	1.969910e-001
3.063213e+002	1.981201e-001
3.063272e+002	1.997986e-001
