    nm         	nm
0.000000e+000	-5.012320e+000
6.079542e-002	-5.012320e+000
1.215908e-001	-5.012320e+000
1.823863e-001	-5.012320e+000
2.431817e-001	-5.023976e+000
3.039771e-001	-5.000663e+000
3.647725e-001	-5.010377e+000
4.255680e-001	-5.010377e+000
4.863634e-001	-5.010377e+000
5.471588e-001	-5.010377e+000
6.079542e-001	-5.010377e+000
6.687497e-001	-5.010377e+000
7.295451e-001	-5.012320e+000
7.903405e-001	-5.013291e+000
8.511359e-001	-5.014263e+000
9.119314e-001	-5.015234e+000
9.727268e-001	-5.015234e+000
1.033522e+000	-5.016205e+000
1.094318e+000	-5.017177e+000
1.155113e+000	-5.018148e+000
1.215908e+000	-5.019119e+000
1.276704e+000	-5.019119e+000
1.337499e+000	-5.019119e+000
1.398294e+000	-5.018148e+000
1.459090e+000	-5.018148e+000
1.519885e+000	-5.017177e+000
1.580680e+000	-5.018148e+000
1.641476e+000	-5.019119e+000
1.702271e+000	-5.020091e+000
1.763067e+000	-5.021062e+000
1.823862e+000	-5.022033e+000
1.884657e+000	-5.023005e+000
1.945453e+000	-5.023005e+000
2.006248e+000	-5.024948e+000
2.067043e+000	-5.026890e+000
2.127839e+000	-5.028833e+000
2.188634e+000	-5.029805e+000
2.249430e+000	-5.031747e+000
2.310225e+000	-5.033690e+000
2.371020e+000	-5.033690e+000
2.431816e+000	-5.033690e+000
2.492611e+000	-5.032719e+000
2.553406e+000	-5.030776e+000
2.614202e+000	-5.029805e+000
2.674997e+000	-5.029805e+000
2.735792e+000	-5.028833e+000
2.796588e+000	-5.027862e+000
2.857383e+000	-5.026890e+000
2.918179e+000	-5.025919e+000
2.978974e+000	-5.024948e+000
3.039769e+000	-5.023976e+000
3.100565e+000	-5.024948e+000
3.161360e+000	-5.025919e+000
3.222155e+000	-5.025919e+000
3.282951e+000	-5.027862e+000
3.343746e+000	-5.028833e+000
3.404542e+000	-5.029805e+000
3.465337e+000	-5.030776e+000
3.526132e+000	-5.032719e+000
3.586928e+000	-5.034662e+000
3.647723e+000	-5.036604e+000
3.708518e+000	-5.037576e+000
3.769314e+000	-5.037576e+000
3.830109e+000	-5.037576e+000
3.890904e+000	-5.037576e+000
3.951700e+000	-5.039519e+000
4.012495e+000	-5.039519e+000
4.073291e+000	-5.039519e+000
4.134086e+000	-5.039519e+000
4.194881e+000	-5.038547e+000
4.255677e+000	-5.037576e+000
4.316472e+000	-5.036604e+000
4.377267e+000	-5.035633e+000
4.438063e+000	-5.035633e+000
4.498858e+000	-5.036604e+000
4.559654e+000	-5.037576e+000
4.620449e+000	-5.039519e+000
4.681244e+000	-5.040490e+000
4.742040e+000	-5.042433e+000
4.802835e+000	-5.044375e+000
4.863630e+000	-5.045347e+000
4.924426e+000	-5.047290e+000
4.985221e+000	-5.048261e+000
5.046016e+000	-5.049233e+000
5.106812e+000	-5.051175e+000
5.167607e+000	-5.052147e+000
5.228403e+000	-5.052147e+000
5.289198e+000	-5.053118e+000
5.349993e+000	-5.053118e+000
5.410789e+000	-5.052147e+000
5.471584e+000	-5.051175e+000
5.532379e+000	-5.050204e+000
5.593175e+000	-5.050204e+000
5.653970e+000	-5.050204e+000
5.714766e+000	-5.050204e+000
5.775561e+000	-5.050204e+000
5.836356e+000	-5.049233e+000
5.897152e+000	-5.050204e+000
5.957947e+000	-5.050204e+000
6.018742e+000	-5.048261e+000
6.079538e+000	-5.046318e+000
6.140333e+000	-5.045347e+000
6.201128e+000	-5.044376e+000
6.261924e+000	-5.042433e+000
6.322719e+000	-5.041461e+000
6.383515e+000	-5.040490e+000
6.444310e+000	-5.040490e+000
6.505105e+000	-5.040490e+000
6.565901e+000	-5.040490e+000
6.626696e+000	-5.038547e+000
6.687491e+000	-5.037576e+000
6.748287e+000	-5.037576e+000
6.809082e+000	-5.038547e+000
6.869878e+000	-5.039519e+000
6.930673e+000	-5.040490e+000
6.991468e+000	-5.042433e+000
7.052264e+000	-5.043404e+000
7.113059e+000	-5.044376e+000
7.173854e+000	-5.043404e+000
7.234650e+000	-5.042433e+000
7.295445e+000	-5.042433e+000
7.356241e+000	-5.042433e+000
7.417036e+000	-5.042433e+000
7.477832e+000	-5.042433e+000
7.538628e+000	-5.042433e+000
7.599423e+000	-5.042433e+000
7.660219e+000	-5.042433e+000
7.721015e+000	-5.042433e+000
7.781811e+000	-5.041461e+000
7.842607e+000	-5.040490e+000
7.903402e+000	-5.040490e+000
7.964198e+000	-5.041461e+000
8.024994e+000	-5.040490e+000
8.085790e+000	-5.040490e+000
8.146586e+000	-5.040490e+000
8.207381e+000	-5.040490e+000
8.268177e+000	-5.040490e+000
8.328973e+000	-5.040490e+000
8.389769e+000	-5.040490e+000
8.450565e+000	-5.039519e+000
8.511361e+000	-5.039519e+000
8.572156e+000	-5.039519e+000
8.632952e+000	-5.040490e+000
8.693748e+000	-5.039519e+000
8.754544e+000	-5.039519e+000
8.815340e+000	-5.039519e+000
8.876135e+000	-5.040490e+000
8.936931e+000	-5.041461e+000
8.997727e+000	-5.042433e+000
9.058523e+000	-5.042433e+000
9.119319e+000	-5.042433e+000
9.180114e+000	-5.043404e+000
9.240910e+000	-5.045347e+000
9.301706e+000	-5.047290e+000
9.362502e+000	-5.049232e+000
9.423298e+000	-5.051175e+000
9.484094e+000	-5.054089e+000
9.544889e+000	-5.056032e+000
9.605685e+000	-5.057003e+000
9.666481e+000	-5.058946e+000
9.727277e+000	-5.059917e+000
9.788073e+000	-5.062831e+000
9.848868e+000	-5.065746e+000
9.909664e+000	-5.068660e+000
9.970460e+000	-5.070603e+000
1.003126e+001	-5.071574e+000
1.009205e+001	-5.071574e+000
1.015285e+001	-5.072545e+000
1.021364e+001	-5.073517e+000
1.027444e+001	-5.074488e+000
1.033523e+001	-5.075460e+000
1.039603e+001	-5.074488e+000
1.045683e+001	-5.074488e+000
1.051762e+001	-5.073517e+000
1.057842e+001	-5.071574e+000
1.063921e+001	-5.069631e+000
1.070001e+001	-5.068660e+000
1.076081e+001	-5.068660e+000
1.082160e+001	-5.069631e+000
1.088240e+001	-5.069631e+000
1.094319e+001	-5.068660e+000
1.100399e+001	-5.068660e+000
1.106478e+001	-5.068660e+000
1.112558e+001	-5.069631e+000
1.118638e+001	-5.069631e+000
1.124717e+001	-5.068660e+000
1.130797e+001	-5.068660e+000
1.136876e+001	-5.069631e+000
1.142956e+001	-5.069631e+000
1.149036e+001	-5.069631e+000
1.155115e+001	-5.067688e+000
1.161195e+001	-5.066717e+000
1.167274e+001	-5.065746e+000
1.173354e+001	-5.064774e+000
1.179433e+001	-5.063803e+000
1.185513e+001	-5.063803e+000
1.191593e+001	-5.063803e+000
1.197672e+001	-5.064774e+000
1.203752e+001	-5.064774e+000
1.209831e+001	-5.064774e+000
1.215911e+001	-5.064774e+000
1.221991e+001	-5.064774e+000
1.228070e+001	-5.065746e+000
1.234150e+001	-5.067688e+000
1.240229e+001	-5.068660e+000
1.246309e+001	-5.069631e+000
1.252388e+001	-5.070603e+000
1.258468e+001	-5.069631e+000
1.264548e+001	-5.068660e+000
1.270627e+001	-5.067688e+000
1.276707e+001	-5.066717e+000
1.282786e+001	-5.064774e+000
1.288866e+001	-5.063803e+000
1.294945e+001	-5.062831e+000
1.301025e+001	-5.061860e+000
1.307105e+001	-5.059917e+000
1.313184e+001	-5.059917e+000
1.319264e+001	-5.060889e+000
1.325343e+001	-5.060889e+000
1.331423e+001	-5.061860e+000
1.337503e+001	-5.062831e+000
1.343582e+001	-5.064774e+000
1.349662e+001	-5.067688e+000
1.355741e+001	-5.069631e+000
1.361821e+001	-5.070603e+000
1.367900e+001	-5.071574e+000
1.373980e+001	-5.071574e+000
1.380060e+001	-5.071574e+000
1.386139e+001	-5.070603e+000
1.392219e+001	-5.068660e+000
1.398298e+001	-5.067688e+000
1.404378e+001	-5.066717e+000
1.410458e+001	-5.064774e+000
1.416537e+001	-5.061860e+000
1.422617e+001	-5.058946e+000
1.428696e+001	-5.057003e+000
1.434776e+001	-5.055061e+000
1.440855e+001	-5.053118e+000
1.446935e+001	-5.052147e+000
1.453015e+001	-5.051175e+000
1.459094e+001	-5.051175e+000
1.465174e+001	-5.052147e+000
1.471253e+001	-5.053118e+000
1.477333e+001	-5.054089e+000
1.483413e+001	-5.056032e+000
1.489492e+001	-5.057975e+000
1.495572e+001	-5.059917e+000
1.501651e+001	-5.061860e+000
1.507731e+001	-5.063803e+000
1.513810e+001	-5.065746e+000
1.519890e+001	-5.066717e+000
1.525970e+001	-5.068660e+000
1.532049e+001	-5.069631e+000
