    nm         	nm
2.329847e+001	7.392785e+000
2.325287e+001	7.295512e+000
2.320728e+001	7.441422e+000
2.316168e+001	7.453581e+000
2.311609e+001	7.198238e+000
2.307050e+001	7.088806e+000
2.302490e+001	7.241808e+000
2.297931e+001	7.214450e+000
2.293372e+001	7.188105e+000
2.288812e+001	7.158721e+000
2.284253e+001	7.127309e+000
2.279693e+001	7.107044e+000
2.275134e+001	7.086779e+000
2.270575e+001	7.059421e+000
2.266015e+001	7.031050e+000
2.261456e+001	6.997611e+000
2.256897e+001	6.955054e+000
2.252337e+001	6.909457e+000
2.247778e+001	6.866900e+000
2.243218e+001	6.824343e+000
2.238659e+001	6.764560e+000
2.234100e+001	6.691605e+000
2.229540e+001	6.631823e+000
2.224981e+001	6.585212e+000
2.220422e+001	6.525430e+000
2.215862e+001	6.452475e+000
2.211303e+001	6.387626e+000
2.206743e+001	6.343042e+000
2.202184e+001	6.304538e+000
2.197625e+001	6.256915e+000
2.193065e+001	6.204225e+000
2.188506e+001	6.173827e+000
2.183947e+001	6.152548e+000
2.179387e+001	6.122150e+000
2.174828e+001	6.086686e+000
2.170268e+001	6.057301e+000
2.165709e+001	6.036022e+000
2.161150e+001	6.007651e+000
2.156590e+001	5.965094e+000
2.152031e+001	5.929630e+000
2.147472e+001	5.899232e+000
2.142912e+001	5.850595e+000
2.138353e+001	5.787772e+000
2.133793e+001	5.731029e+000
2.129234e+001	5.684419e+000
2.124675e+001	5.629703e+000
2.120115e+001	5.558774e+000
2.115556e+001	5.488859e+000
2.110997e+001	5.438196e+000
2.106437e+001	5.388546e+000
2.101878e+001	5.327750e+000
2.097318e+001	5.266954e+000
2.092759e+001	5.219331e+000
2.088200e+001	5.186906e+000
2.083640e+001	5.148402e+000
2.079081e+001	5.103818e+000
2.074522e+001	5.072407e+000
2.069962e+001	5.049102e+000
2.065403e+001	5.017691e+000
2.060843e+001	4.984253e+000
2.056284e+001	4.959935e+000
2.051725e+001	4.932576e+000
2.047165e+001	4.893059e+000
2.042606e+001	4.843409e+000
2.038047e+001	4.803892e+000
2.033487e+001	4.768427e+000
2.028928e+001	4.716751e+000
2.024368e+001	4.646835e+000
2.019809e+001	4.584013e+000
2.015250e+001	4.535377e+000
2.010690e+001	4.482687e+000
2.006131e+001	4.412771e+000
2.001572e+001	4.334750e+000
1.997012e+001	4.285100e+000
1.992453e+001	4.246596e+000
1.987893e+001	4.193906e+000
1.983334e+001	4.137163e+000
1.978775e+001	4.094606e+000
1.974215e+001	4.064208e+000
1.969656e+001	4.033810e+000
1.965097e+001	3.998346e+000
1.960537e+001	3.966934e+000
1.955978e+001	3.944642e+000
1.951418e+001	3.913232e+000
1.946859e+001	3.879793e+000
1.942300e+001	3.851422e+000
1.937740e+001	3.820011e+000
1.933181e+001	3.777454e+000
1.928622e+001	3.724764e+000
1.924062e+001	3.671061e+000
1.919503e+001	3.630530e+000
1.914943e+001	3.577840e+000
1.910384e+001	3.505898e+000
1.905825e+001	3.441050e+000
1.901265e+001	3.384307e+000
1.896706e+001	3.332630e+000
1.892147e+001	3.268795e+000
1.887587e+001	3.197866e+000
1.883028e+001	3.146189e+000
1.878468e+001	3.106672e+000
1.873909e+001	3.057022e+000
1.869350e+001	3.011425e+000
1.864790e+001	2.973934e+000
1.860231e+001	2.944549e+000
1.855672e+001	2.915165e+000
1.851112e+001	2.880714e+000
1.846553e+001	2.855382e+000
1.841993e+001	2.833090e+000
1.837434e+001	2.799653e+000
1.832875e+001	2.758109e+000
1.828315e+001	2.722644e+000
1.823756e+001	2.693260e+000
1.819197e+001	2.652729e+000
1.814637e+001	2.593960e+000
1.810078e+001	2.535190e+000
1.805518e+001	2.488580e+000
1.800959e+001	2.435890e+000
1.796400e+001	2.368001e+000
1.791840e+001	2.302139e+000
1.787281e+001	2.246410e+000
1.782722e+001	2.193720e+000
1.778162e+001	2.140017e+000
1.773603e+001	2.086314e+000
1.769043e+001	2.032611e+000
1.764484e+001	1.990053e+000
1.759925e+001	1.949523e+000
1.755365e+001	1.915072e+000
1.750806e+001	1.886700e+000
1.746247e+001	1.853263e+000
1.741687e+001	1.817798e+000
1.737128e+001	1.784361e+000
1.732568e+001	1.760042e+000
1.728009e+001	1.737750e+000
1.723450e+001	1.697220e+000
1.718890e+001	1.646556e+000
1.714331e+001	1.608052e+000
1.709772e+001	1.574615e+000
1.705212e+001	1.525978e+000
1.700653e+001	1.460116e+000
1.696093e+001	1.396280e+000
1.691534e+001	1.343590e+000
1.686975e+001	1.286847e+000
1.682415e+001	1.220985e+000
1.677856e+001	1.151070e+000
1.673297e+001	1.088247e+000
1.668737e+001	1.032518e+000
1.664178e+001	9.828676e-001
1.659618e+001	9.362573e-001
1.655059e+001	8.845807e-001
1.650500e+001	8.399971e-001
1.645940e+001	8.045328e-001
1.641381e+001	7.761614e-001
1.636822e+001	7.518430e-001
1.632262e+001	7.224583e-001
1.627703e+001	6.859807e-001
1.623143e+001	6.576093e-001
1.618584e+001	6.363307e-001
