    kHz         	 V
2.973667e+002	5.496216e-002
2.973725e+002	5.578613e-002
2.973784e+002	5.700684e-002
2.973843e+002	5.627441e-002
2.973901e+002	5.764771e-002
2.973959e+002	5.816650e-002
2.974018e+002	5.889893e-002
2.974076e+002	6.030273e-002
2.974135e+002	6.033325e-002
2.974193e+002	6.094360e-002
2.974252e+002	6.085205e-002
2.974310e+002	6.228638e-002
2.974369e+002	6.277466e-002
2.974427e+002	6.414795e-002
2.974486e+002	6.488037e-002
2.974544e+002	6.454468e-002
2.974603e+002	6.570435e-002
2.974662e+002	6.652832e-002
2.974720e+002	6.723022e-002
2.974778e+002	6.875610e-002
2.974837e+002	6.906128e-002
2.974895e+002	6.909180e-002
2.974954e+002	7.031250e-002
2.975013e+002	7.174683e-002
2.975071e+002	7.260132e-002
2.975129e+002	7.284546e-002
2.975188e+002	7.412720e-002
2.975247e+002	7.476807e-002
2.975305e+002	7.653809e-002
2.975363e+002	7.644653e-002
2.975422e+002	7.827759e-002
2.975481e+002	7.876587e-002
2.975539e+002	8.026123e-002
2.975598e+002	8.035278e-002
2.975656e+002	8.126831e-002
2.975714e+002	8.273315e-002
2.975773e+002	8.331299e-002
2.975832e+002	8.462524e-002
2.975890e+002	8.554077e-002
2.975948e+002	8.740234e-002
2.976007e+002	8.718872e-002
2.976066e+002	8.938599e-002
2.976124e+002	8.978271e-002
2.976182e+002	9.136963e-002
2.976241e+002	9.231567e-002
2.976300e+002	9.329224e-002
2.976358e+002	9.454346e-002
2.976417e+002	9.451294e-002
2.976475e+002	9.680176e-002
2.976533e+002	9.771729e-002
2.976592e+002	9.872437e-002
2.976651e+002	9.957886e-002
2.976709e+002	1.012573e-001
2.976768e+002	1.011353e-001
2.976826e+002	1.031799e-001
2.976885e+002	1.025696e-001
2.976943e+002	1.043701e-001
2.977002e+002	1.054077e-001
2.977060e+002	1.069946e-001
2.977119e+002	1.075134e-001
2.977177e+002	1.078796e-001
2.977236e+002	1.094971e-001
2.977294e+002	1.093140e-001
2.977353e+002	1.111755e-001
2.977411e+002	1.119690e-001
2.977470e+002	1.136780e-001
2.977528e+002	1.138000e-001
2.977587e+002	1.145630e-001
2.977645e+002	1.157227e-001
2.977704e+002	1.165161e-001
2.977762e+002	1.172791e-001
2.977821e+002	1.187439e-001
2.977879e+002	1.180725e-001
2.977938e+002	1.193542e-001
2.977996e+002	1.202393e-001
2.978055e+002	1.206665e-001
2.978113e+002	1.223145e-001
2.978172e+002	1.221008e-001
2.978230e+002	1.221924e-001
2.978289e+002	1.233215e-001
2.978347e+002	1.244507e-001
2.978406e+002	1.253967e-001
2.978464e+002	1.248474e-001
2.978523e+002	1.257324e-001
2.978581e+002	1.271973e-001
2.978640e+002	1.279297e-001
2.978698e+002	1.286926e-001
2.978757e+002	1.299744e-001
2.978815e+002	1.300354e-001
2.978874e+002	1.303711e-001
2.978932e+002	1.307373e-001
2.978991e+002	1.322632e-001
2.979049e+002	1.318970e-001
2.979108e+002	1.323853e-001
2.979166e+002	1.329651e-001
2.979225e+002	1.325378e-001
2.979283e+002	1.340027e-001
2.979342e+002	1.349487e-001
2.979400e+002	1.340027e-001
2.979459e+002	1.358948e-001
2.979517e+002	1.370239e-001
2.979576e+002	1.362610e-001
2.979634e+002	1.369629e-001
2.979693e+002	1.374207e-001
2.979751e+002	1.395569e-001
2.979810e+002	1.389771e-001
2.979868e+002	1.387634e-001
2.979927e+002	1.397095e-001
2.979985e+002	1.406860e-001
2.980044e+002	1.414795e-001
2.980102e+002	1.408997e-001
2.980161e+002	1.416321e-001
2.980219e+002	1.429138e-001
2.980278e+002	1.439819e-001
2.980336e+002	1.434326e-001
2.980395e+002	1.448059e-001
2.980453e+002	1.454468e-001
2.980512e+002	1.461182e-001
2.980570e+002	1.461487e-001
2.980629e+002	1.467590e-001
2.980688e+002	1.479187e-001
2.980746e+002	1.485291e-001
2.980804e+002	1.488342e-001
2.980863e+002	1.492920e-001
2.980922e+002	1.498413e-001
2.980980e+002	1.515808e-001
2.981038e+002	1.507263e-001
2.981097e+002	1.522522e-001
2.981155e+002	1.526489e-001
2.981214e+002	1.539612e-001
2.981273e+002	1.539917e-001
2.981331e+002	1.551208e-001
2.981389e+002	1.553345e-001
2.981448e+002	1.566772e-001
2.981507e+002	1.572876e-001
2.981565e+002	1.579285e-001
2.981623e+002	1.586304e-001
2.981682e+002	1.599426e-001
2.981741e+002	1.606140e-001
2.981799e+002	1.614685e-001
2.981857e+002	1.633606e-001
2.981916e+002	1.627502e-001
2.981974e+002	1.652832e-001
2.982033e+002	1.651306e-001
2.982092e+002	1.662903e-001
2.982150e+002	1.681824e-001
2.982208e+002	1.682129e-001
2.982267e+002	1.699219e-001
2.982326e+002	1.703186e-001
2.982384e+002	1.711121e-001
2.982443e+002	1.729736e-001
2.982501e+002	1.744080e-001
2.982560e+002	1.745605e-001
2.982618e+002	1.753235e-001
2.982677e+002	1.771851e-001
2.982735e+002	1.781311e-001
2.982793e+002	1.790771e-001
2.982852e+002	1.808472e-001
2.982911e+002	1.819458e-001
2.982969e+002	1.839294e-001
2.983028e+002	1.856995e-001
2.983086e+002	1.858215e-001
2.983145e+002	1.877441e-001
2.983203e+002	1.882629e-001
2.983262e+002	1.905518e-001
2.983320e+002	1.920471e-001
2.983379e+002	1.939392e-001
2.983437e+002	1.950378e-001
2.983496e+002	1.964417e-001
2.983554e+002	1.987000e-001
2.983612e+002	2.006836e-001
2.983671e+002	2.014465e-001
2.983730e+002	2.041321e-001
2.983788e+002	2.052917e-001
2.983847e+002	2.064819e-001
2.983905e+002	2.095032e-001
2.983964e+002	2.105103e-001
2.984022e+002	2.127686e-001
2.984081e+002	2.140198e-001
2.984139e+002	2.161560e-001
2.984198e+002	2.182007e-001
2.984256e+002	2.202148e-001
2.984315e+002	2.218323e-001
2.984373e+002	2.245789e-001
2.984432e+002	2.265015e-001
2.984490e+002	2.291260e-001
2.984549e+002	2.312622e-001
2.984607e+002	2.337036e-001
2.984666e+002	2.357788e-001
2.984724e+002	2.369995e-001
2.984783e+002	2.399902e-001
2.984841e+002	2.424927e-001
2.984900e+002	2.444153e-001
2.984958e+002	2.467346e-001
2.985017e+002	2.500305e-001
2.985075e+002	2.524719e-001
2.985134e+002	2.550049e-001
2.985192e+002	2.575989e-001
2.985251e+002	2.600403e-001
2.985309e+002	2.628479e-001
2.985368e+002	2.656250e-001
2.985426e+002	2.684937e-001
2.985485e+002	2.710571e-001
2.985543e+002	2.746582e-001
2.985602e+002	2.767944e-001
2.985660e+002	2.805481e-001
2.985719e+002	2.827759e-001
2.985777e+002	2.860718e-001
2.985836e+002	2.898254e-001
2.985894e+002	2.920532e-001
2.985953e+002	2.963867e-001
2.986011e+002	2.986755e-001
2.986070e+002	3.025208e-001
2.986128e+002	3.054810e-001
2.986187e+002	3.089294e-001
2.986245e+002	3.125000e-001
2.986304e+002	3.157959e-001
2.986362e+002	3.196411e-001
2.986421e+002	3.228149e-001
2.986479e+002	3.270569e-001
2.986538e+002	3.305664e-001
2.986596e+002	3.349915e-001
2.986655e+002	3.382568e-001
2.986713e+002	3.434753e-001
2.986772e+002	3.455811e-001
2.986830e+002	3.502502e-001
2.986889e+002	3.540039e-001
2.986948e+002	3.584290e-001
2.987006e+002	3.627930e-001
2.987064e+002	3.669434e-001
2.987123e+002	3.703918e-001
2.987181e+002	3.744507e-001
2.987240e+002	3.797302e-001
2.987298e+002	3.829651e-001
2.987357e+002	3.883362e-001
2.987415e+002	3.916016e-001
2.987474e+002	3.961792e-001
2.987532e+002	4.006958e-001
2.987591e+002	4.045410e-001
2.987649e+002	4.096985e-001
2.987708e+002	4.131775e-001
2.987767e+002	4.177246e-001
2.987825e+002	4.220276e-001
2.987883e+002	4.262085e-001
2.987942e+002	4.308777e-001
2.988000e+002	4.355164e-001
2.988059e+002	4.392090e-001
2.988118e+002	4.434814e-001
2.988176e+002	4.476013e-001
2.988234e+002	4.511719e-001
2.988293e+002	4.547729e-001
2.988352e+002	4.591675e-001
2.988410e+002	4.632568e-001
2.988468e+002	4.663696e-001
2.988527e+002	4.696350e-001
2.988586e+002	4.741821e-001
2.988644e+002	4.772034e-001
2.988703e+002	4.805298e-001
2.988761e+002	4.821777e-001
2.988819e+002	4.862976e-001
2.988878e+002	4.882813e-001
2.988937e+002	4.906616e-001
2.988995e+002	4.933167e-001
2.989053e+002	4.953918e-001
2.989112e+002	4.974365e-001
2.989171e+002	4.987183e-001
2.989229e+002	4.999084e-001
2.989287e+002	5.021362e-001
2.989346e+002	5.032654e-001
2.989405e+002	5.035400e-001
2.989463e+002	5.041504e-001
2.989522e+002	5.046387e-001
2.989580e+002	5.050354e-001
2.989638e+002	5.045776e-001
2.989697e+002	5.039368e-001
2.989756e+002	5.042419e-001
2.989814e+002	5.041199e-001
2.989873e+002	5.021362e-001
2.989931e+002	5.006409e-001
2.989990e+002	5.000000e-001
2.990048e+002	4.981689e-001
2.990107e+002	4.966736e-001
2.990165e+002	4.948425e-001
2.990224e+002	4.916992e-001
2.990282e+002	4.894409e-001
2.990341e+002	4.872742e-001
2.990399e+002	4.842834e-001
2.990458e+002	4.821167e-001
2.990516e+002	4.788208e-001
2.990575e+002	4.766846e-001
2.990633e+002	4.725647e-001
2.990692e+002	4.697876e-001
2.990750e+002	4.663391e-001
2.990809e+002	4.637146e-001
2.990867e+002	4.596558e-001
2.990926e+002	4.559937e-001
2.990984e+002	4.517822e-001
2.991043e+002	4.483948e-001
2.991101e+002	4.445496e-001
2.991160e+002	4.404297e-001
2.991218e+002	4.377136e-001
2.991277e+002	4.337463e-001
2.991335e+002	4.301453e-001
2.991394e+002	4.255981e-001
2.991452e+002	4.221191e-001
2.991511e+002	4.185181e-001
2.991569e+002	4.141541e-001
2.991628e+002	4.104004e-001
2.991686e+002	4.071045e-001
2.991745e+002	4.033813e-001
2.991803e+002	3.984680e-001
2.991862e+002	3.954773e-001
2.991920e+002	3.913269e-001
2.991979e+002	3.876038e-001
2.992037e+002	3.849792e-001
2.992096e+002	3.815918e-001
2.992154e+002	3.766785e-001
2.992213e+002	3.741760e-001
2.992271e+002	3.699951e-001
2.992330e+002	3.668213e-001
2.992388e+002	3.634338e-001
2.992447e+002	3.597717e-001
2.992505e+002	3.563843e-001
2.992564e+002	3.530884e-001
2.992622e+002	3.499451e-001
