    kHz         	 V
2.890797e+002	6.173706e-002
2.890853e+002	6.298828e-002
2.890910e+002	6.292725e-002
2.890967e+002	6.307983e-002
2.891024e+002	6.344604e-002
2.891081e+002	6.396484e-002
2.891138e+002	6.469727e-002
2.891195e+002	6.430054e-002
2.891252e+002	6.558228e-002
2.891308e+002	6.549072e-002
2.891365e+002	6.576538e-002
2.891422e+002	6.686401e-002
2.891479e+002	6.649780e-002
2.891536e+002	6.680298e-002
2.891593e+002	6.796265e-002
2.891650e+002	6.765747e-002
2.891707e+002	6.771851e-002
2.891763e+002	6.881714e-002
2.891820e+002	6.900024e-002
2.891877e+002	6.988525e-002
2.891934e+002	6.924438e-002
2.891991e+002	7.022095e-002
2.892048e+002	7.022095e-002
2.892105e+002	7.095337e-002
2.892162e+002	7.122803e-002
2.892218e+002	7.101440e-002
2.892276e+002	7.202148e-002
2.892333e+002	7.144165e-002
2.892389e+002	7.229614e-002
2.892446e+002	7.241821e-002
2.892503e+002	7.302856e-002
2.892560e+002	7.376099e-002
2.892617e+002	7.366943e-002
2.892674e+002	7.409668e-002
2.892731e+002	7.418823e-002
2.892788e+002	7.443237e-002
2.892844e+002	7.461548e-002
2.892901e+002	7.412720e-002
2.892958e+002	7.577515e-002
2.893015e+002	7.498169e-002
2.893072e+002	7.546997e-002
2.893129e+002	7.528687e-002
2.893186e+002	7.516479e-002
2.893243e+002	7.592773e-002
2.893299e+002	7.617188e-002
2.893356e+002	7.614136e-002
2.893413e+002	7.632446e-002
2.893470e+002	7.751465e-002
2.893527e+002	7.733154e-002
2.893584e+002	7.720947e-002
2.893641e+002	7.760620e-002
2.893698e+002	7.733154e-002
2.893754e+002	7.794189e-002
2.893811e+002	7.785034e-002
2.893868e+002	7.736206e-002
2.893925e+002	7.785034e-002
2.893982e+002	7.839966e-002
2.894039e+002	7.803345e-002
2.894096e+002	7.763672e-002
2.894153e+002	7.818604e-002
2.894209e+002	7.913208e-002
2.894266e+002	7.812500e-002
2.894323e+002	7.788086e-002
2.894380e+002	7.843018e-002
2.894437e+002	7.843018e-002
2.894494e+002	7.870483e-002
2.894551e+002	7.876587e-002
2.894608e+002	7.922363e-002
2.894664e+002	7.858276e-002
2.894721e+002	7.781982e-002
2.894778e+002	7.897949e-002
2.894835e+002	7.879639e-002
2.894892e+002	7.867432e-002
2.894949e+002	7.858276e-002
2.895006e+002	7.806396e-002
2.895063e+002	7.760620e-002
2.895120e+002	7.864380e-002
2.895177e+002	7.815552e-002
2.895233e+002	7.821655e-002
2.895290e+002	7.754517e-002
2.895347e+002	7.739258e-002
2.895404e+002	7.824707e-002
2.895461e+002	7.754517e-002
2.895518e+002	7.772827e-002
2.895575e+002	7.748413e-002
2.895632e+002	7.751465e-002
2.895688e+002	7.727051e-002
2.895745e+002	7.666016e-002
2.895802e+002	7.659912e-002
2.895859e+002	7.623291e-002
2.895916e+002	7.638550e-002
2.895973e+002	7.626343e-002
2.896030e+002	7.601929e-002
2.896087e+002	7.516479e-002
2.896143e+002	7.537842e-002
2.896200e+002	7.421875e-002
2.896257e+002	7.461548e-002
2.896314e+002	7.415771e-002
2.896371e+002	7.458496e-002
2.896428e+002	7.409668e-002
2.896485e+002	7.357788e-002
2.896542e+002	7.379150e-002
2.896598e+002	7.281494e-002
2.896655e+002	7.266235e-002
2.896712e+002	7.165527e-002
2.896769e+002	7.241821e-002
2.896826e+002	7.098389e-002
2.896883e+002	7.089233e-002
2.896940e+002	7.052612e-002
2.896997e+002	6.991577e-002
2.897053e+002	6.912231e-002
2.897110e+002	6.900024e-002
2.897167e+002	6.854248e-002
2.897224e+002	6.802368e-002
2.897281e+002	6.781006e-002
2.897338e+002	6.671143e-002
2.897395e+002	6.619263e-002
2.897452e+002	6.533813e-002
2.897508e+002	6.515503e-002
2.897565e+002	6.420898e-002
2.897622e+002	6.338501e-002
2.897679e+002	6.222534e-002
2.897736e+002	6.222534e-002
2.897793e+002	6.164551e-002
2.897850e+002	6.057739e-002
2.897907e+002	5.984497e-002
2.897963e+002	5.938721e-002
2.898021e+002	5.865479e-002
2.898078e+002	5.728149e-002
2.898134e+002	5.654907e-002
2.898191e+002	5.569458e-002
2.898248e+002	5.398560e-002
2.898305e+002	5.355835e-002
2.898362e+002	5.279541e-002
2.898419e+002	5.111694e-002
2.898476e+002	5.001831e-002
2.898533e+002	4.888916e-002
2.898589e+002	4.794312e-002
2.898646e+002	4.681396e-002
2.898703e+002	4.525757e-002
2.898760e+002	4.376221e-002
2.898817e+002	4.199219e-002
2.898874e+002	4.132080e-002
2.898931e+002	3.887939e-002
2.898988e+002	3.842163e-002
2.899044e+002	3.656006e-002
